Decoded Text,id,Category,Reasoning
"xxx app sms blasting calls live 
xxx blasting and xxx blasting available 
xxxx ppc available only prepay
ping with avail",6.23E+14,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
xx Calls through email blasting are running from Monday to Saturday.minimum call order will be 30.,2.86E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
"
CALLS ARE LIVE 7:30Pm Onwards
Banking Calls Available
(US Bank & xx Bank)
Limited slots only..
Inbox for your slot soon",3.10E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
"BLASTING  CALLS AVAILABLE 

#xxx

Quality & flow both good

If you need
Dm. xxxx",3.35E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
All types of tech support calls available bt no free calls only prepay,3.40E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
"Email Blasting Campaign 90% Above Inboxing | Only Genuine Centre may Contact , Spammer, Free,
 Postpay request Will be Directly Blocked",3.43E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
Email call availablexxxx  ticket booking,4.92E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
I need US state ID or driving license,6.09E+14,Fake/Illicit Documents Services,"Posts that sell or request forged, altered or fake documents used to support fradulent activities, these are intended to bypass KYC, impersonate individuals or enhnace phishing credibility,including government IDs like Driver License, utility bills, invoices and bank related documents.Intention is to enable identity fraud or spoof legitimacy using fake document - not to access data, deliver calls or process transactions"
"we deel 3d links 
invoices 
xxx pay
uni fees 
xx bill dubai
Chalan fee xxx
dm",7.21E+14,Fake/Illicit Documents Services,"Posts that sell or request forged, altered or fake documents used to support fradulent activities, these are intended to bypass KYC, impersonate individuals or enhnace phishing credibility,including government IDs like Driver License, utility bills, invoices and bank related documents.Intention is to enable identity fraud or spoof legitimacy using fake document - not to access data, deliver calls or process transactions"
"xxx Bank invoices available on Settlement..
50% to loader.",8.74E+14,Fake/Illicit Documents Services,"Posts that sell or request forged, altered or fake documents used to support fradulent activities, these are intended to bypass KYC, impersonate individuals or enhnace phishing credibility,including government IDs like Driver License, utility bills, invoices and bank related documents.Intention is to enable identity fraud or spoof legitimacy using fake document - not to access data, deliver calls or process transactions"
