Decoded Text,id,Category,Reasoning
"Email Blasting Calls Available

Pure Banking/xxx Popup Calls Available
(Genuine buyers DM)",6.40E+14,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
Email blasting available for xx xx xx xx with data or without data ping me,3.35E+15,Blasting Campaign Services,"Posts that offer or request services that execute automated communication campaigns (email blasting, sms blasting, IVR, or robocalls) in order to generate live inbound calls, these calls often promote scam services like tech support.Blasting campaign may refer to calls available, which are results of generated traffic. The intent is to provide or request service that delivers calls generated via blasting - not to sell data or leads or infrastructure."
"xxx Bank invoices available on Settlement..
50% to loader.",8.74E+14,Fake/Illicit Documents Services,"Posts that sell or request forged, altered or fake documents used to support fradulent activities, these are intended to bypass KYC, impersonate individuals or enhnace phishing credibility,including government IDs like Driver License, utility bills, invoices and bank related documents.Intention is to enable identity fraud or spoof legitimacy using fake document - not to access data, deliver calls or process transactions"
"RECEIVERS NEEDED

FTM BTC
FLASH USDT
SOFTWARE 

LOADER:   ",2.08E+15,Financial Services Providers,"Posts offering the services with cashing out or transferring stolen payments, processing payments with a transaction fee which includes crypto currency, credit cards, cheques, gift cards and wire transfer payments and create 2d/3d payment gateways.These might also offer pickup and delivery of cash and giftcards either manually or through courier services. Intentional is transactional that handles money, process payments, crypto currency, and not advertise calls or promote tech support calls.
   "
"Inbox Delivery Email Blaster Server available with Training and Content.
 ",2.50E+15,Infrastructure setup tools," Posts that advertise or request tools, softwares, servers, or scripts that help set up or run scam infrastructure,including email servers(SMTP), mailers, dialers, Gmail accounts, SIMs, APIs,webmail servers, Python scripts,and google voice. Intention is to buy or sell backend tools and environment used to support fraud operations - not to send messages, generate calls, or deliver data. The focus is building infrastructure.
   "
"100% Valid & Fresh Database!! Book your slot now!!
Email Data & Number Data Avalable!!
PAYDAY LEAD AVAILABLE!!
100% Fresh and Valid with Replacement Facalities of Invalid Files.
Homeowner, Crypto, Rich People Many other Verticals Available
Contact Information :
",6.60E+15,Leads and Data sales,"Posts that offer, sell, or trade databases or datasets containing personal, financial or marketing-targeted information used for contacting,scamming, or promoting, these includes email,ivr  contact lists, sensitive data, data filtered by age, income,geography, and also B2B or B2C leads.Intent is to sell or request seensitive personal data( email, phone, leads) often filtered by demographics, but not advertise calls, infrastructure tools,ad campaigns, data, or blasting services
   "
"#mTlwb 30 wld khryj mw'hl `ly w #Tlbh sn@ 3 &4 ll`ml fy qsm #ld`m lfny
 #kwnt `rby bmrtb 4200 fy ltHryr ('brj lnyl syty )
#qSy sn 30sn@

lltqdym b`t wtsb fqT
",1.02E+16,Other,"Posts that are incomplete, unclear, or don't clearly match any of the above."
All new designer double beds only 24000 rs ,5.73E+15,Other,"Posts that are incomplete, unclear, or don't clearly match any of the above."
"Create your own ios popup mix call campaign in 2hrs.Don't get scammed.No suspension .F2F deal .Pm 
Postpay deal!!",1.37E+15,PPC/popups Calls,"Posts that offer or request scam traffic generation through ads or popup redirection.those drive unsuspecting users to call numbers after clicking ads such as porn popup, fake virus popup alerts, BSOD popup. Intent is to generate incoming scam calls through paid ads or popups - not advertise data, tools or financial services
    "
"Need screen connect in bulk rate??? 

Ping now... (support 24x7) 

@everyone
@Screenconnect 
@connetwise",2.26E+15,Remote Access Services,"Posts that includes buying and selling of Remote access softwares which are used to connect to other systems.Intent is to sell or request remote access machines
    "
"T_F_N  TFN  T_F_N   available for 
US & UK with one month warranty support
including Admin Panel,           Call Recordings
Ping me ",3.07E+15,Toll-FreeNumber Providers,"Posts that advertise or request the Services that provide the toll free numbers, Provide phone numbers to operate scams - not call trafffic ."
